pmid,year,title,abstract,label
26786788,2016,Role of corticosteroids in prostate cancer progression: implications for treatment strategy in metastatic castration-resistant patients.,"Corticosteroid agents (CA) are widely used in the treatment of metastatic castration-resistant prostate cancer (mCRPC) either as concomitant treatment with active agents such as docetaxel, cabazitaxel and abiraterone or in a palliative setting, predominantly due to their anti-inflammatory activity. However, the chronic use of CA has numerous side effects, especially in case of steroid-induced adrenal insufficiency. Furthermore, the latest clinical and preclinical data demonstrate that CA themselves are likely to promote tumour progression in certain populations of patients with mCRPC. Therefore, the role of CA in advanced disease should be carefully weighed for each patient and their withdrawal should be considered in some patients. This is necessary, especially in clinical trials that need good performance status patients to evaluate the activity and the safety of emerging drugs in mCRPC that do not require the concurrent use of CA. In oncology, there is no consensus on an algorithm of gradual steroid tapering and frequently the approach to this procedure is empirical. An algorithm is presented in this article based on clinical observations. Prospective studies are necessary to evaluate the efficacy and safety of the above-proposed algorithm in metastatic castration-resistant prostate cancer.",A1
26052050,2015,The third line of treatment for metastatic prostate cancer patients: Option or strategy?,"New agents for metastatic castration-resistant prostate cancer (CRPC) developed in the past 3 years include cabaziataxel (Cbz), abiraterone acetate (AA) and enzalutamide (E). In this review, the results of clinical studies in which one of these drugs is included as the third line of treatment are discussed. Our review suggests that AA and E have limited activity, while Cbz seems to retain its efficacy. Prospective studies that further examine sequential treatments are warranted.",E3
26779767,2016,Influence of abiraterone acetate on circulating neuromediators in chemotherapy-naïve castration-resistant prostate cancer.,"Abiraterone Acetate (AA) represents a highly effective androgen-receptor (AR) axis targeted agent. Treatment with AA in castration-resistant prostate cancer (CRPC) may partly mediate neuroendocrine differentiation (NED) as an escape mechanism, which may have implications for the choice of sequential therapy in CRPC. We evaluated how treatment with AA influences circulating neuromediators chromogranin A (CGA), neuron-specific enolase (NSE), and pro-gastrin-releasing peptide (Pro-GRP) in chemotherapy-naïve CRPC patients. We conducted an analysis in chemotherapy-naïve CRPC patients with clinical or radiographic progression of disease. A total of 35 patients were included at five institutions between February 2013 and December 2014. Sixteen of them had received AA. Serum samples were obtained before a docetaxel-based chemotherapy and analyzed in a reference laboratory. Univariable and multivariable analyses were performed to test the influence of AA treatment, its duration of treatment, and other clinicopathological variables on circulating neuromediators. CGA and NSE levels were above the upper limit of normal (ULN) in n = 20 (57.1%) and n = 13 (37.1%), respectively. Treatment with AA and duration of treatment were not associated with levels above the ULN (CGA and NSE) or higher levels (Pro-GRP) of neuromediators. CGA levels were associated with age (P = 0.092), lymph node metastasis (P = 0.014), duration of androgen deprivation therapy (ADT; P = 0.083), and intake of proton pump inhibitors (P = 0.069). Pro-GRP levels were significantly associated with PSA levels (P = 0.002). On multivariate analysis, CGA levels above the ULN were significantly correlated with ADT (P = 0.01) and intake of proton pump inhibitors (P = 0.03). Circulating neuromediators in chemotherapy-naïve CRPC patients were elevated in a high percentage of patients. ADT was found to be a relevant NED driver in this cohort. Our results may imply that patients with CRPC after first-line treatment with AA in CRPC are not at a higher risk for developing NED. The major limitation of the study represents the one-time analysis of neuromediators. Larger studies with serial blood measurements or biopsy analysis before and after treatment are needed to confirm our results.",A1
27052650,2016,Anti-tumour activity of platinum compounds in advanced prostate cancer-a systematic literature review.,"For men with advanced castration-resistant prostate cancer (CRPC), several treatment options are available, including androgen receptor (AR) pathway inhibitors (abiraterone acetate, enzalutamide), taxanes (docetaxel, cabazitaxel) and the radionuclide (radium-223). However, cross-resistance is a clinically relevant problem. Platinum compounds have been tested in a number of clinical trials in molecularly unselected prostate cancer patients. Advances in CRPC molecular profiling have shown that a significant proportion of patients harbour DNA repair defects, which may serve as predictive markers for sensitivity to platinum agents. To systematically identify and analyse clinical trials that have evaluated platinum agents in advanced prostate cancer patients. PubMed was searched to identify published clinical trials of platinum agents in advanced prostate cancer. The PRIMSA statement was followed for the systematic review process. Identified trials are analysed for study design, statistical plan, assessments of anti-tumour activity and the potential value of predictive biomarkers. A total of 163 references were identified by the literature search and 72 publications that met the selection criteria were included in this review; of these 33 used carboplatin, 27 cisplatin, 6 satraplatin, 4 oxaliplatin and 2 other platinum compounds. Overall, anti-tumour activity varies in the range of 10%-40% for objective response and 20%-70% for PSA decline ≥50%. Response seemed highest for the combinations of carboplatin with taxanes or oxaliplatin with gemcitabine. The interpretation of the clinical data is limited by differences in response criteria used and patient populations studied. Platinum compounds have moderate anti-tumour activity in molecularly unselected patients with advanced prostate cancer. Translational evidence of DNA repair deficiency should be leveraged in future studies to select prostate cancer patients most likely to benefit from platinum-based therapy.",A1
22184395,2012,Effects of abiraterone acetate on androgen signaling in castrate-resistant prostate cancer in bone.,"Persistent androgen signaling is implicated in castrate-resistant prostate cancer (CRPC) progression. This study aimed to evaluate androgen signaling in bone marrow-infiltrating cancer and testosterone in blood and bone marrow and to correlate with clinical observations. This was an open-label, observational study of 57 patients with bone-metastatic CRPC who underwent transiliac bone marrow biopsy between October 2007 and March 2010. Patients received oral abiraterone acetate (1 g) once daily and prednisone (5 mg) twice daily. Androgen receptor (AR) and CYP17 expression were assessed by immunohistochemistry, testosterone concentration by mass spectrometry, AR copy number by polymerase chain reaction, and TMPRSS2-ERG status by fluorescent in situ hybridization in available tissues. Median overall survival was 555 days (95% CI, 440 to 965+ days). Maximal prostate-specific antigen decline ≥ 50% occurred in 28 (50%) of 56 patients. Homogeneous, intense nuclear expression of AR, combined with ≥ 10% CYP17 tumor expression, was correlated with longer time to treatment discontinuation (> 4 months) in 25 patients with tumor-infiltrated bone marrow samples. Pretreatment CYP17 tumor expression ≥ 10% was correlated with increased bone marrow aspirate testosterone. Blood and bone marrow aspirate testosterone concentrations declined to less than picograms-per-milliliter levels and remained suppressed at progression. The observed pretreatment androgen-signaling signature is consistent with persistent androgen signaling in CRPC bone metastases. This is the first evidence that abiraterone acetate achieves sustained suppression of testosterone in both blood and bone marrow aspirate to less than picograms-per-milliliter levels. Potential admixture of blood with bone marrow aspirate limits our ability to determine the origin of measured testosterone.",A1
27195316,2016,"The PREVAIL trial of enzalutamide in men with chemotherapy-naïve, metastatic castration-resistant prostate cancer: Post hoc analysis of Korean patients.","This post hoc analysis evaluated treatment effects, safety, and pharmacokinetics of enzalutamide in Korean patients in the phase 3, double-blind, placebo-controlled PREVAIL trial. Asymptomatic or mildly symptomatic chemotherapy-naive men with metastatic castration-resistant prostate cancer that progressed on androgen deprivation therapy received 160 mg/d oral enzalutamide or placebo (1:1) until death or discontinuation due to radiographic progression or skeletal-related event and initiation of subsequent therapy. Coprimary end points were centrally assessed radiographic progression-free survival (rPFS) and overall survival (OS). Secondary end points included investigator-assessed rPFS, time to initiation of chemotherapy, time to prostate-specific antigen (PSA) progression, PSA response (≥50% decline), and time to skeletal-related event. Of 1,717 total patients, 78 patients were enrolled in Korea (enzalutamide, n=40; placebo, n=38). Hazard ratios (95% confidence interval) for enzalutamide versus placebo were 0.23 (0.02-2.24) for centrally assessed rPFS, 0.77 (0.28-2.15) for OS, 0.21 (0.08-0.51) for time to chemotherapy, and 0.31 (0.17-0.56) for time to PSA progression. A PSA response was observed in 70.0% of enzalutamide-treated and 10.5% of placebo-treated Korean patients. Adverse events of grade ≥3 occurred in 33% of enzalutamide-treated and 11% of placebo-treated Korean patients, with median treatment durations of 13.0 and 5.1 months, respectively. At 13 weeks, the plasma concentration of enzalutamide plus N-desmethyl enzalutamide was similar in Korean and non-Korean patients (geometric mean ratio, 1.04; 90% confidence interval, 0.97-1.10). In Korean patients, treatment effects and safety of enzalutamide were consistent with those observed in the overall PREVAIL study population (ClinicalTrials.gov Identifier: NCT01212991).",E3
20823238,2010,Constitutively active androgen receptor splice variants expressed in castration-resistant prostate cancer require full-length androgen receptor.,"Androgen receptor (AR) splice variants lacking the ligand binding domain (ARVs), originally isolated from prostate cancer cell lines derived from a single patient, are detected in normal and malignant human prostate tissue, with the highest levels observed in late stage, castration-resistant prostate cancer. The most studied variant (called AR-V7 or AR3) activates AR reporter genes in the absence of ligand and therefore, could play a role in castration resistance. To explore the range of potential ARVs, we screened additional human and murine prostate cancer models using conventional and next generation sequencing technologies and detected several structurally diverse AR isoforms. Some, like AR-V7/AR3, display gain of function, whereas others have dominant interfering activity. We also find that ARV expression increases acutely in response to androgen withdrawal, is suppressed by testosterone, and in some models, is coupled to full-length AR (AR-FL) mRNA production. As expected, constitutively active, ligand-independent ARVs such as AR-V7/AR3 are sufficient to confer anchorage-independent (in vitro) and castration-resistant (in vivo) growth. Surprisingly, this growth is blocked by ligand binding domain-targeted antiandrogens, such as MDV3100, or by selective siRNA silencing of AR-FL, indicating that the growth-promoting effects of ARVs are mediated through AR-FL. These data indicate that the increase in ARV expression in castrate-resistant prostate cancer is an acute response to castration rather than clonal expansion of castration or antiandrogen-resistant cells expressing gain of function ARVs, and furthermore, they provide a strategy to overcome ARV function in the clinic.",E3
26100946,2016,Androgen receptor aberrations in the era of abiraterone and enzalutamide.,"Prostate cancer is the most prevalent non-skin cancer and the second leading cause of cancer death in men of the western world. As growth and differentiation of prostate cancer largely depend on androgens, inhibition of the androgen/androgen receptor signaling axis is the main treatment for locally advanced and/or metastatic tumors. Although first-line androgen deprivation therapies like chemical/surgical castration and/or administration of anti-androgens are able to control the disease for several years, prostate cancer almost invariably recurs as castration-resistant prostate cancer. This stage of the disease is characterized by a sustained AR-signaling despite castrate levels of circulating androgens. Various molecular mechanisms were shown to induce castration resistance. This review will discuss the most recent and relevant experimental findings on AR-signaling in castration-resistant prostate cancer in order to provide a comprehensive interpretation of the clinical behavior of this tumor entity following treatments with abiraterone, enzalutamide, ARN-509 or taxanes.",A1
21174534,2010,Cabazitaxel for the treatment of castration-resistant prostate cancer.,"Treatment with docetaxel-based chemotherapy results in improved survival in patients with metastatic castration-resistant prostate cancer. However, all patients eventually develop progressive disease associated with poor outcomes. In this article, we discuss the available second-line therapeutic options following docetaxel, with a special focus on cabazitaxel, which is the first agent to yield extended survival as second-line therapy following docetaxel. Cabazitaxel, a novel semi-synthetic taxane, is effective even in docetaxel-resistant model systems. Recently, results of the Phase III TROPIC trial demonstrated improved survival with cabazitaxel plus prednisone compared with mitoxantrone and prednisone in patients with progressive metastatic castration-resistant prostate cancer, following prior docetaxel, which led to approval by the US FDA.",C2
24934449,2014,Prostate cancer: enzalutamide PREVAILs.,NA,E3
25353258,2014,Clinical implications for a treatment algorithm and differential indication to hormone therapy and chemotherapy options in metastatic castrate-resistant prostate cancer: a personal view.,"Although docetaxel is still considered a mainstay of treatment in metastatic castrate-resistant prostate cancer (mCRPC), in the last few years, new agents have been developed to improve survival in this setting and reach a possible optimal personalized treatment strategy. In this paper, we provide a personal view and an algorithm for mCRPC patients, according to available evidence, personal opinion and experience. Abiratone acetate, cabazitaxel, radium-223, sipuleucel-T and enzalutamide, together with docetaxel, have demonstrated a survival benefit in these patients. The use of rechallenge with docetaxel in mCRPC patients with disease progression after a first response has been considered. These new agents complicated the scenario and posed the challenge to move from the old sequential to a new algorithm-based approach. At this stage, the algorithm is necessarily based on experts' opinion, since the efficacy of a single agent in a specific setting has not been validated by sequential trials.",C2
24491670,2014,"[Management of enzalutamide, a new hormonal therapy].","Enzalutamide (MDV3100) is a non-steroidal antiandrogen of second generation that has shown efficacy in metastatic castration-resistant prostate cancer (mCRPC). The study AFFIRM demonstrated a statistically significant increase in overall survival among patients who have progressed following a docetaxel chemotherapy. Based on these results, a marketing authorization for enzalutamide has been granted. The enzalutamide has been shown to be generally well tolerated. Other trials are underway to evaluate its earlier use in the management of mCRPC. A pivotal registration phase III study (PREVAIL) is ongoing to investigate the effectiveness of enzalutamide in patients who have not yet received chemotherapy.",E3
25593303,2015,Improvements in Radiographic Progression-Free Survival Stratified by ERG Gene Status in Metastatic Castration-Resistant Prostate Cancer Patients Treated with Abiraterone Acetate.,"Gene fusions leading to androgen receptor-modulated ERG overexpression occur in up to 70% of metastatic castration-resistant prostate cancers (mCRPC). We assessed the association between ERG rearrangement status and clinical benefit from abiraterone acetate. COU-AA-302 is a phase III trial comparing abiraterone acetate and prednisone versus prednisone in chemotherapy-naïve mCRPC. ERG status was evaluated by FISH on archival tumors. End points included radiographic progression-free survival (rPFS), time to PSA progression (TTPP), rate of ≥50% PSA decline from baseline, and overall survival (OS). Cox regression was used to evaluate association with time-to-event measures and Cochran-Mantel-Haenszel for PSA response. ERG status was defined for 348 of 1,088 intention-to-treat patients. ERG was rearranged in 121 of 348 patients with confirmed ERG status (35%). Cancers with an ERG fusion secondary to deletion of 21q22 and increased copy number of fusion sequences (class 2+ Edel) had a greater improvement in rPFS after abiraterone acetate and prednisone [22 vs. 5.4 months; HR (95% confidence interval, CI), 0.31 (0.15-0.68); P = 0.0033] than cancers with no ERG fusion [16.7 vs. 8.3 months; 0.53 (0.38-0.74); P = 0.0002] or other classes of ERG rearrangement. There was also greater benefit in this subgroup for TTPP. Both ERG-rearranged and wild-type cancers had a significant improvement in rPFS with abiraterone acetate and prednisone in the COU-AA-302 trial. However, our data suggest that 2+ Edel cancers, accounting for 15% of all mCRPC patients and previously associated with a worse outcome, derived the greatest benefit.",A1
23575870,2013,Methylselenol prodrug enhances MDV3100 efficacy for treatment of castration-resistant prostate cancer.,"The next-generation antiandrogen MDV3100 prolongs overall survival of patients with metastatic castration-resistant prostate cancer (CRPC). However, patient responses are variable, and survival benefit remains relatively small. Developing effective modality to improve MDV3100 efficacy is urgently needed. Recent evidence suggests that constitutively active androgen receptor splice variants (AR-Vs) drive resistance to MDV3100. In our study, we show that methylselenol prodrug downregulates the expression and activity of both the full-length AR (AR-FL) and AR-Vs. The downregulation is independent of androgen and could be attributable to repressed transcription of the AR gene. Cotreatment with methylselenol prodrug and MDV3100 suppresses AR signaling more dramatically than either agent alone, and synergistically inhibits the growth of CRPC cells in vitro. The combinatorial efficacy is observed in not only AR-V-expressing cells but also cells expressing predominantly AR-FL, likely owing to the ability of the two drugs to block the AR signaling cascade at distinct steps. Ectopic expression of AR-FL or AR-V7 attenuates the combinatorial efficacy, indicating that downregulating AR-FL and AR-V7 is importantly involved in mediating the combinatorial efficacy. Significantly, methylselenol prodrug also downregulates AR-FL and AR-Vs in vivo and substantially improves the antitumor efficacy of MDV3100. These findings support a potential combination therapy for improving MDV3100 efficacy, and provide a rationale for evaluating the clinical application of combining methylselenol prodrug with MDV3100 for the treatment of CRPC.",E3
25375370,2014,20(S)-protopanaxadiol inhibition of progression and growth of castration-resistant prostate cancer.,"Castration-resistant progression of prostate cancer after androgen deprivation therapies remains the most critical challenge in the clinical management of prostate cancer. Resurgent androgen receptor (AR) activity is an established driver of castration-resistant progression, and upregulation of the full-length AR (AR-FL) and constitutively-active AR splice variants (AR-Vs) has been implicated to contribute to the resurgent AR activity. We reported previously that ginsenoside 20(S)-protopanaxadiol-aglycone (PPD) can reduce the abundance of both AR-FL and AR-Vs. In the present study, we further showed that the effect of PPD on AR expression and target genes was independent of androgen. PPD treatment resulted in a suppression of ligand-independent AR transactivation. Moreover, PPD delayed castration-resistant regrowth of LNCaP xenograft tumors after androgen deprivation and inhibited the growth of castration-resistant 22Rv1 xenograft tumors with endogenous expression of AR-FL and AR-Vs. This was accompanied by a decline in serum prostate-specific antigen levels as well as a decrease in AR levels and mitoses in the tumors. Notably, the 22Rv1 xenograft tumors were resistant to growth inhibition by the next-generation anti-androgen enzalutamide. The present study represents the first to show the preclinical efficacy of PPD in inhibiting castration-resistant progression and growth of prostate cancer. The findings provide a rationale for further developing PPD or its analogues for prostate cancer therapy.",E3
25719830,2015,Androgen receptor expression in circulating tumour cells from castration-resistant prostate cancer patients treated with novel endocrine agents.,"Abiraterone and enzalutamide are novel endocrine treatments that abrogate androgen receptor (AR) signalling in castration-resistant prostate cancer (CRPC). Here, we developed a circulating tumour cells (CTCs)-based assay to evaluate AR expression in real-time in CRPC and investigated nuclear AR expression in CTCs in patients treated with enzalutamide and abiraterone. CTCs were captured and characterised using the CellSearch system. An automated algorithm to identify CTCs and quantify AR expression was employed. The primary aim was to evaluate the association between CTC AR expression and prior treatment with abiraterone or enzalutamide. AR expression in CTCs was evaluated in 94 samples from 48 metastatic CRPC patients. We observed large intra-patient heterogeneity of AR expression in CTCs. Prior exposure to abiraterone or enzalutamide was not associated with a change in CTCs AR expression (median intensity and distribution of AR-positive classes). In support of this, we also confirmed maintained nuclear AR expression in tissue samples collected after progression on abiraterone. AR staining also identified additional AR-positive CD45-negative circulating cells that were CK-negative/weak and therefore missed using standard protocols. The number of these events correlated with traditional CTCs and was associated with worse outcome on univariate analysis. We developed a non-invasive method to monitor AR nuclear expression in CTCs. Our studies confirm nuclear AR expression in CRPC patients progressing on novel endocrine treatments. Owing to the significant heterogeneity of AR expression in CTCs, studies in larger cohorts of patients are required to identify associations with outcome.",A1
18985049,2008,CYP17 inhibition as a hormonal strategy for prostate cancer.,"Androgen receptor (AR) signaling has a key role in the pathogenesis of prostate cancer. AR gene amplification, AR overexpression, and activating mutations in the AR occur more frequently as castration-resistant prostate cancer (CRPC) evolves, with intratumoral androgen levels remaining sufficient for AR activation despite castration. The source of these androgens might be either adrenal or intratumoral. AR signaling, therefore, remains a valid treatment target for patients with CRPC. CYP17 is a key enzyme for androgen biosynthesis. The imidazole antifungal agent ketoconazole weakly and nonspecifically inhibits CYP17, but remains unlicensed for this indication. Chemists at the Cancer Research UK Centre for Cancer Therapeutics have designed a novel, selective, irreversible inhibitor of CYP17 called abiraterone, which is more than 20 times more potent than ketoconazole. Abiraterone acetate, a prodrug, has undergone phase I assessment, and is rapidly progressing from phase II to phase III trials, in view of its high level of antitumor activity. This agent is safe and well tolerated, and activity profiles suggest that approximately 50% of CRPC remains AR-ligand driven. Other CYP17 inhibitors with alternative mechanisms of action, for example VN/124-1, are in preclinical development. The rationale for and implications of CYP17 inhibition and the CYP17-targeting agents in development are discussed in this Review.",A1
21836546,2011,Abiraterone acetate (Zytiga) for metastatic castration-resistant prostate cancer.,NA,A1
